rating,category,fandom,relationship,character,additional tags,language,published,status,status date,words,comments,kudos,bookmarks,hits,persephone_agency,hades_agency,agency_diff,hades_power,persephone_power,power_diff
Not Rated,['F/M'],['Ancient Greek Religion & Lore'],"['Hades/Persephone (Ancient Greek Religion & Lore)', 'Hades & Persephone (Ancient Greek Religion & Lore)']","['Hades (Ancient Greek Religion & Lore)', 'Persephone (Ancient Greek Religion & Lore)']","['Angst', 'Crying', 'Implied/Referenced Child Abuse', 'Emotional Hurt/Comfort']",English,2022-05-05,Completed,2022-05-05,639,4.0,48.0,5.0,348,,,,,,
Teen And Up Audiences,"['F/M', 'Gen', 'Other']",['Ancient Greek Religion & Lore'],"['Hades/Persephone (Ancient Greek Religion & Lore)', 'Hades/Thanatos (Ancient Greek Religion & Lore)', 'Hades/Nyx (Ancient Greek Religion & Lore)']","['Hades (Ancient Greek Religion & Lore)', 'Nyx (Ancient Greek Religion & Lore)', 'Thanatos (Ancient Greek Religion & Lore)', 'Persephone (Ancient Greek Religion & Lore)', 'Zeus (Ancient Greek Religion & Lore)', 'Poseidon (Ancient Greek Religion & Lore)', 'Aphrodite (Ancient Greek Religion & Lore)', 'Apollo (Ancient Greek Religion & Lore)', 'Ares (Ancient Greek Religion & Lore)', 'Athena (Ancient Greek Religion & Lore)', 'Artemis (Ancient Greek Religion & Lore)', 'Tartarus (Ancient Greek Religion & Lore)', 'Macaria daughter of Hades (Ancient Greek Religion & Lore)', 'Melinoe (Ancient Greek Religion & Lore)', 'Atlas (Ancient Greek Religion & Lore)', 'Hera (Ancient Greek Religion & Lore)', 'Demeter (Ancient Greek Religion & Lore)', 'Hestia (Ancient Greek Religion & Lore)', 'Chronos (Ancient Greek Religion & Lore)', 'Cronus (Ancient Greek Religion & Lore)', 'Uranus (Ancient Greek Religion & Lore)', 'Gaia (Ancient Greek Religion & Lore)', 'Rhea (Ancient Greek Religion & Lore)', 'Leuce (Ancient Greek Religion & Lore)', 'Hypnos (Ancient Greek Religion & Lore)', 'Moirai (Ancient Greek Religion & Lore)', 'Typhon (Ancient Greek Religion & Lore)', 'Hercules | Heracles (Ancient Greek Religion & Lore)', 'Achilles (Ancient Greek Religion & Lore)', 'Hecate (Ancient Greek Religion & Lore)', 'Amphitrite (Ancient Greek Religion & Lore)', 'Hephaestus (Ancient Greek Religion & Lore)', 'Hermes (Ancient Greek Religion & Lore)', 'Dionysus (Ancient Greek Religion & Lore)', 'Medusa (Ancient Greek Religion & Lore)', 'Chaos (Ancient Greek Religion & Lore)', 'Erebus (Ancient Greek Religion & Lore)', 'Styx (Ancient Greek Religion & Lore)']","['Alternate Universe - Canon Divergence', 'Manga & Anime', 'Angst and Romance', 'Blood and Violence', 'Rape Aftermath', 'Depression']",English,2022-04-28,Completed,2022-04-28,512,,9.0,1.0,325,,,,,,
General Audiences,['F/M'],"['Ancient Greek Religion & Lore', 'The Iliad - Homer', 'Original Work']",['Hades/Persephone (Ancient Greek Religion & Lore)'],"['Hades (Ancient Greek Religion & Lore)', 'Persephone (Ancient Greek Religion & Lore)']","['Surprise Ending', 'Cute', 'Persephone Goes Willingly With Hades (Ancient Greek Religion & Lore)', 'Funny', 'Soft Hades (Hadestown)', 'Married Couple', 'Married Life', 'No Angst', 'Fluff', 'Domestic Fluff', 'Slice of Life', 'Fluff and Crack', 'The Author Regrets Nothing', 'They are so in love']",English,2022-04-25,Completed,2022-04-25,278,8.0,104.0,7.0,945,,,,,,
Not Rated,"['F/M', 'M/M']","['Ancient Greek Religion & Lore', 'Percy Jackson and the Olympians - Rick Riordan']","['Aphrodite/Ares (Ancient Greek Religion & Lore)', 'Apollo/Helios (Ancient Greek Religion & Lore)', 'Hades/Persephone (Ancient Greek Religion & Lore)', 'Amphitrite/Poseidon (Ancient Greek Religion & Lore)', 'Hera/Zeus (Ancient Greek Religion & Lore)']","['Aphrodite (Ancient Greek Religion & Lore)', 'Ares (Ancient Greek Religion & Lore)', 'Poseidon (Ancient Greek Religion & Lore)', 'Amphitrite (Ancient Greek Religion & Lore)', 'Apollo (Ancient Greek Religion & Lore)', 'Zeus (Ancient Greek Religion & Lore)', 'Hera (Ancient Greek Religion & Lore)', 'Helios (Ancient Greek Religion & Lore)', 'Demeter (Ancient Greek Religion & Lore)', 'Persephone (Ancient Greek Religion & Lore)', 'Hermes (Ancient Greek Religion & Lore)', 'Hades (Ancient Greek Religion & Lore)', 'Hephaestus (Ancient Greek Religion & Lore)']","['Trials', 'Love', 'Established Relationship', 'Pregnancy']",English,2022-04-22,Completed,2022-04-22,1718,,18.0,2.0,513,,,,,,
General Audiences,['F/M'],['Ancient Greek Religion & Lore'],['Hades/Persephone (Ancient Greek Religion & Lore)'],"['Hades (Ancient Greek Religion & Lore)', 'Persephone (Ancient Greek Religion & Lore)', 'Demeter (Ancient Greek Religion & Lore)']","['Hurt/Comfort', 'Sickfic', 'the common cold', 'Soup', 'Cooking', 'Food as a Metaphor for Love']",English,2022-04-14,Completed,2022-04-14,1576,3.0,14.0,3.0,141,,0.25,,-0.08333333333333333,,
Explicit,['F/M'],"['Ancient Greek Religion & Lore', 'Norse Religion & Lore']",['Hades/Persephone (Ancient Greek Religion & Lore)'],"['Hades (Ancient Greek Religion & Lore)', 'Persephone (Ancient Greek Religion & Lore)']","['Rimming', 'Femdom', 'Submission', 'Dom/sub']",English,2022-04-06,Completed,2022-04-06,592,2.0,54.0,2.0,1383,0.2962962962962963,-0.06896551724137931,-0.3652618135376756,-0.3103448275862069,-0.14814814814814814,-0.16219667943805877
Explicit,['F/M'],"['Ancient Greek Religion & Lore', 'Lore Olympus (Webcomic)']",['Hades/Persephone (Ancient Greek Religion & Lore)'],"['Hades (Ancient Greek Religion & Lore)', 'Persephone (Ancient Greek Religion & Lore)']","['Pegging', 'Femdom', 'Gentle Sex', 'Anal Sex', 'Anal Fingering']",English,2022-04-06,Completed,2022-04-06,1207,2.0,78.0,4.0,2274,0.2727272727272727,,,,0.09090909090909091,
Teen And Up Audiences,['F/M'],"['Ancient Greek Religion & Lore', 'Greek Mytholgy - Fandom']",['Hades/Persephone (Ancient Greek Religion & Lore)'],"['Hades (Ancient Greek Religion & Lore)', 'Persephone (Ancient Greek Religion & Lore)']","['Anxiety', 'Angst', 'Anxiety Disorder', 'reference to panic attack', 'Separation Anxiety', 'Fluff and Angst', 'Established Relationship', 'Married Couple']",English,2022-03-29,Completed,2022-03-29,356,,53.0,4.0,809,,,,,,
Explicit,['F/F'],"['Ancient Greek Religion & Lore', 'Original Work']","['Eurydice wife of Orpheus/Orpheus (Ancient Greek Religion & Lore)', 'Hades/Persephone (Ancient Greek Religion & Lore)', 'Eurydice/Original Female Character']","['Eurydice wife of Orpheus (Ancient Greek Religion & Lore)', 'Orpheus (Ancient Greek Religion & Lore)', 'Persephone (Ancient Greek Religion & Lore)', 'Hades (Ancient Greek Religion & Lore)', 'Nymph | Nymphs (Ancient Greek Religion & Lore)', 'Hermes (Ancient Greek Religion & Lore)']","['Orpheus is insane', 'Inspired by Orpheus and Eurydice (Ancient Greek Religion & Lore)', 'Eurydice is Better than Orpheus', 'Past Rape/Non-con', 'Character Study', 'Original Character(s)', 'Eurydice is desperate', 'Persephone the Ice Queen']",English,2022-03-22,Completed,2022-03-22,1148,3.0,19.0,4.0,198,,,,,,
Teen And Up Audiences,['F/M'],"['Teen Wolf (TV)', 'Greek Mythology']","['Lydia Martin/Stiles Stilinski', 'Hades/Persephone']","['Lydia Martin', 'Stiles Stilinski', 'Hades', 'Persephone']","['Hades!Lydia', 'Persephone!Stiles', ""We don't believe in gender norms here kiddos""]",English,2022-03-13,Completed,2022-03-13,1023,,33.0,1.0,301,0.13043478260869565,,,,-0.30434782608695654,
